,house_name,lat_lon,school
90,Hampton Place&凱帆軒,"22.320835100000004,114.1552658",0.0836
91,Hyde Towers&凱德大廈,"22.3165245,114.2204285",0.0809
92,Hoi Tak Gardens&凱德花園,"22.3851604,113.98180390000002",0.2233
93,Triumph Terrace&凱旋居,"22.319627800000006,114.17426299999998",0.118
94,Harbour Pinnacle&凱譽,"22.296728100000006,114.1741943",0.0944
95,Victoria Mansion&利園大廈,"22.2855415,114.1912384",0.0407
96,Bijou Court&別樹一居,"22.3239613,114.1693192",0.1556
97,Lee Ga Building&利基大廈,"22.2813301,114.2216873",0.0479
98,Bijou Apartments&別樹華軒,"22.323877300000003,114.16887659999998",0.1263
99,Lee Kee Building&利基大廈,"22.3255119,114.2153091",0.0993
100,Lee Loy Building&利來大廈,"22.2788296,114.1757278",0.0992
101,Lee Loy Mansion&利來洋樓,"22.3039112,114.1683197",0.1818
102,Lee Wo Building&利和大廈,"22.3687115,114.1396179",0.1176
103,La Clare Mansion&利嘉大廈,"22.277668,114.1323929",0.4095
104,Fortune Mansion&利是大廈,"22.2439537,114.15595249999998",0.1794
105,Lee Tai Building&利泰大樓,"22.3233318,114.1659012",0.0723
106,Rex Building&利時大廈,"22.2866764,114.1386185",0.0781
107,Port Centre&利港中心,"22.2490578,114.1550369",0.1039
108,Lee King Building&利景樓,"22.4440651,114.0277557",0.1191
109,Lee Yuen Mansion&利源樓,"22.3978062,113.9748154",0.0839
110,Lei Tung Estate&利東村,"22.2410183,114.1560822",0.0866
111,Lee Wing Building&利榮大廈,"22.3132801,114.1864548",0.2223
112,Lee Wing Building&利榮大樓,"22.2774544,114.1735229",0.0611
113,Lee Man Building&利民大樓,"22.3201447,114.17057040000002",0.1869
114,Topworth Court&利基閣,"22.2857361,114.1434097",0.1253
115,Lee Shing Mansion&利成大廈,"22.30616,114.1677399",0.1191
116,Lee Wai Building&利威大樓,"22.3188457,114.169693",0.025
117,Newman House&利文樓,"22.276889800000006,114.1709518",0.1128
118,Lee On Building&利安大樓,"22.3194599,114.1713181",0.1961
119,Lee Cheong Building&利昌大廈,"22.277916,114.1783524",0.1171
120,La Belle Mansion&利寶大廈,"22.3201561,114.1756134",0.198
121,Lee Bo Building&利寶大廈,"22.3883781,113.9792709",0.142
122,Li Tak Mansion&利得大廈,"22.321050600000003,114.1609573",0.0662
123,Lauren Court&利源閣,"22.3138618,114.1681137",0.2494
124,Lee Kwan Building&利群大廈,"22.3193741,114.1707611",0.1405
125,Lee Fat Building&利發大廈,"22.2440186,114.1550598",0.1901
