,house_name,lat_lon,school
1516,Tai Koo Shing -Kao Shan Terrace&太古城 - 高山台,"22.2853031,114.22052",0.1147
1517,Tai Kut House&太吉樓,"22.28409,114.2143936",0.0449
1518,Tai Chow House&太就樓,"22.2828979,114.21297450000002",0.2223
1519,Peace Garden&太平花園,"22.3178806,114.1744308",0.001
1520,Tai Ping Estate&太平邨,"22.4980183,114.1266251",0.2168
1521,Tai Ping Mansion&太平大廈,"22.2854538,114.1476746",0.0677
1522,Peace Mansion&太平閣,"22.3194141,114.1738205",0.1292
1523,Peace Tower&太平居,"22.3189163,114.1737976",0.1324
1524,Tai Ping Building&太平樓,"22.2875385,114.1488647",0.0965
1525,Pacific Building&太平洋大廈,"22.3014431,114.1749878",0.096
1526,Pacific Mansion&太平洋大廈,"22.3024635,114.1721039",0.0929
1527,Tai Kei House&太基樓,"22.2848358,114.1489258",0.0819
1528,Prince Centre&太子中心,"22.328516,114.1671143",0.004
1529,Tai Foo House&太富樓,"22.2835979,114.2215195",0.1356
1530,Prince Ritz&太子匯,"22.3281403,114.1906357",0.2425
1531,Tai Ning House&太寧樓,"22.2844734,114.1484604",0.0615
1532,Prince Edward Park&太子花苑,"22.3256245,114.177742",0.2091
1533,Princes Heights (Phase 2)&太子閣2期,"22.325634,114.1794434",0.2011
1534,Tai On Building&太安樓,"22.2828751,114.2220993",0.1577
1535,Tai Hong Building&太康大廈,"22.2843056,114.1306763",0.0462
1536,Tai Lok House&太樂樓,"22.2826443,114.22078700000002",0.0415
1537,Tai Hong House&太康樓,"22.2833939,114.2217026",0.1403
1538,Serenity Villa&太湖山莊,"22.4563198,114.1581345",0.2368
1539,Tai Hing Building&太慶大廈,"22.2851734,114.1490479",0.1204
1540,Serenity Park&太湖花園,"22.4538803,114.1602631",0.0918
1541,Tai Sing House&太成樓,"22.2828617,114.2126465",0.2535
1542,Tai Ming House&太明樓,"22.2834702,114.2145996",0.058
1543,Tai Yuen Court&太源閣,"22.2752018,114.1734314",0.2342
1544,Tai Lung House&太隆樓,"22.2823925,114.21299740000002",0.1955
1545,Tai Sang Building&太生大廈,"22.2833252,114.1296997",0.09
1546,Tai Shun Building&太順樓,"22.2842159,114.14991",0.0808
1547,Tai Pak Terrace&太白居,"22.2832489,114.1310806",0.0872
1548,Tai Shun House&太順樓,"22.2838383,114.2213821",0.1435
1549,Tai Pak Court&太白閣,"22.283205,114.131218",0.0996
1550,Tai Cheong House&太祥樓,"22.2840347,114.2212372",0.1523
1551,Tai Hing House&太興樓,"22.2824192,114.2126923",0.2176
1552,Tai Wah Mansion&太華樓,"22.3248367,114.1717834",0.104
1553,Ho Choi Building&好彩洋樓,"22.4427261,114.0242004",0.0924
1554,Good View Mansion&好景樓,"22.3717651,114.11128229999998",0.1032
1555,Ho Yuet Building&好悅洋樓,"22.4422741,114.0251312",0.176
1556,Ho King Building&好景樓,"22.2775269,114.2298813",0.0323
1557,Ho Wang Building&好旺洋樓,"22.4420052,114.0260162",0.1079
1558,Ho Sze House&好時洋樓,"22.3746281,114.17948909999998",0.0905
1559,Blossom Villas&好時花園,"22.4736824,114.1504135",1.131
1560,Houston Court&好時閣,"22.3304958,114.1618881",0.0781
1561,Best View Court&好景大廈,"22.2748928,114.16002659999998",0.1904
1562,Woodland Crest&奕翠園,"22.5073833,114.13285829999998",0.1862
1563,Hollywood Heights&好利閣,"22.2765503,114.1544571",0.1659
1564,Evone Court&奕雲樓,"22.2693596,114.1843643",0.1221
1565,Victory Building&好勝大廈,"22.4040432,113.9791565",0.123
1566,Upper West&奧城．西岸,"22.3202934,114.16125490000002",0.1454
1567,Park Ivy&奧朗‧御峯,"22.321252800000003,114.1639557",0.1819
1568,Park Summit&奧柏‧御峯,"22.3202915,114.1632614",0.2152
1569,Good World Building&好世界洋樓,"22.324726100000003,114.1646042",0.0409
1570,Holly Building&好利洋樓,"22.4449673,114.0270081",0.1258
1571,Fortune Buildings&好運樓,"22.2780552,114.1734543",0.0403
1572,Lucky Mansion&好運樓,"22.3182583,114.1873627",0.0575
1573,Ho King Building&好景洋樓,"22.4462967,114.0239716",0.0818
1574,Lucky Building&好運洋樓,"22.3972931,113.9771118",0.0834
1575,Good Hope Building&好望角大廈,"22.3173733,114.1700363",0.1093
1576,Rich Building&好發大廈,"22.4037704,113.9785309",0.1212
1577,Ho Fat Building&好發洋樓,"22.442073800000006,114.0265503",0.1093
1578,Ho Sing Building&好盛洋樓,"22.4423943,114.0261765",0.1457
1579,Hentiff Building&好達大廈,"22.3247242,114.1709061",0.1393
1580,Yue Yee Mansion&如意大樓,"22.283624600000003,114.1309738",0.0487
1581,Ho Shun Lee Building&好順利大廈,"22.4420624,114.0345383",0.037
1582,Ho Shun Yee Building&好順意大廈,"22.4431038,114.0348434",0.1282
1583,Wei Sun Building&威信大廈,"22.3319206,114.1643219",0.2107
1584,Ho Shun King Building&好順景大廈,"22.4420204,114.0336761",0.1071
1585,Ho Shun Tai Building&好順泰大廈,"22.4418812,114.0278015",0.1594
1586,Ho Shun Fuk Building&好順福大廈,"22.4454689,114.0263138",0.159
1587,Gracious Mansion&如意大廈,"22.3275032,114.1604004",0.2913
1588,Welley Building&威利大廈,"22.283590300000004,114.1542816",0.1505
1589,Wilmont Court&威明閣,"22.2894936,114.1974182",0.1122
1590,Wilmer Building&威利大廈,"22.2882214,114.1450043",0.2649
1591,Viking Villas&威景臺,"22.2859039,114.1937408",0.0785
1592,The Valley View&威利閣,"22.2677174,114.1862259",0.0812
1593,Wai Wong Garden&威王花園,"22.449707,114.1743546",0.1609
1594,Victoria Height&威利閣,"22.2757645,114.1557465",0.2322
1595,Wise Mansion&威勝大廈,"22.2797985,114.1510162",0.2118
1596,Venice Garden&威尼斯花園,"22.49753,114.1274185",0.2109
1597,Victor Court&威德閣,"22.2883072,114.1919327",0.2345
1598,Wai Fat Building&威發大廈,"22.3194695,114.1725006",0.1774
1599,Yu On Building&娛安樓,"22.2818127,114.12638090000002",0.0709
1600,Wai Wah Building&威華大廈,"22.3002224,114.1755447",0.0342
1601,Tse Chong Building&子莊樓,"22.448953600000007,114.1653442",0.1454
1602,Win Gain Garden&威裕花園,"22.4263668,114.0725632",0.4776
1603,Bay View Gardens&威豪花園,"22.336738600000004,114.2089081",0.24
1604,Wealthy Heights&威豪閣,"22.2755947,114.1587524",0.0636
1605,On Shun Mansion&安信樓,"22.376461,114.178093",0.0254
1606,On Chun Mansion&安全大廈,"22.3157063,114.18738559999998",0.1028
1607,On Wo Gardens - On Hing Mansion&安和園 - 安慶大廈,"22.3170891,114.1918259",0.0728
1608,On Chuen Building&安全樓,"22.3976669,113.9745789",0.0593
1609,On Wo Gardens - On Cheong Building&安和園 - 安昌大廈,"22.3167057,114.1914749",0.0915
1610,On Lee Building&安利大廈,"22.343544,114.1973038",0.1267
1611,On Wo Building&安和園,"22.3165092,114.1912613",0.0858
1612,On Wo Gardens - On Wo Building&安和園 - 安和大廈,"22.290205,114.1964188",0.1526
1613,On Wo Gardens - On Ning Building&安和園 - 安寧大廈,"22.316913600000003,114.1916733",0.0962
1614,Academic Terrace&學士臺,"22.28228,114.13174440000002",0.2149
1615,The Pacifica&宇晴軒,"22.3347454,114.1498108",0.0331
1616,Cambridge Heights&學林軒,"22.328638100000006,114.1877594",0.1061
1617,Southern Building&守運樓,"22.3600979,114.1284485",0.0291
1618,Hilary Court&學林雅軒,"22.2844429,114.1394958",0.0621
1619,On Hang Building&安亨大廈,"22.3171196,114.1918182",0.0697
1620,Hoc Tam Garden&學談花園,"22.2684517,114.1846008",0.0377
1621,Apollo Building&宇宙大廈,"22.336271300000003,114.1594009",0.1521
1622,Yu Chau Building&宇宙大廈,"22.3281155,114.1640549",0.1152
1623,Universal Tower&宇宙閣,"22.2892017,114.1973267",0.1245
1624,On Ting Mansion&安定樓,"22.3750076,114.1781921",0.1328
1625,On Wo Gardens - On Fook Building&安和園 - 安福大廈,"22.3166504,114.1910095",0.1154
1626,On Foo Building&安富大廈,"22.3727379,114.1154861",0.0614
1627,On Wo Gardens - On Shun Building&安和園 - 安順大廈,"22.3168507,114.1911774",0.1208
1628,On Kwok Villa&安國花園新村,"22.5053349,114.1335526",0.1569
1629,On Ga Building&安基大廈,"22.4442368,114.0305405",0.0673
1630,On Kay Court&安基苑,"22.3223782,114.2172699",0.3242
1631,On Ning Building&安寧大廈,"22.3347435,114.1607971",0.149
1632,Peaceful Building&安居大廈,"22.3045826,114.1703491",0.1445
1633,Comfort House&安居樓,"22.3241692,114.189415",0.1032
1634,Comfort Court&安居閣,"22.3284798,114.1583557",0.4747
1635,On Ning Building&安寧樓,"22.4459934,114.02229309999998",0.063
1636,On Ning Garden&安寧花園,"22.315523100000004,114.2630844",0.0749
1637,Amber House&安寶樓,"22.3256092,114.1678543",0.083
1638,On King Building&安景樓,"22.441719100000004,114.0294952",0.0774
1639,Comfort Building&安樂大廈,"22.2989941,114.1724091",0.1939
1640,Fairview Court&安景閣,"22.283947,114.1364899",0.0498
1641,On Lok Mansion&安樂大樓,"22.2863312,114.1333237",0.1988
1642,Antung Building&安東大廈,"22.2757969,114.1714554",0.1919
1643,On Lok Building&安樂樓,"22.281496,114.2308273",0.0438
1644,On Yip Building&安業大廈,"22.2809811,114.2223587",0.0581
1645,On Wing Centre&安榮中心,"22.212204,114.0284271",0.1842
1646,On Wing Building&安榮大廈,"22.2858219,114.1520844",0.0499
1647,On Wing Building&安榮樓,"22.4459076,114.0292206",0.1449
1648,On Fung Building&安峰大廈,"22.2826328,114.1501846",0.091
1649,On Tak Building&安德大廈,"22.3182869,114.215538",0.1827
1650,On Hong Buidling&安康大廈,"22.3716049,114.1111908",0.0873
1651,On Cheer Mansion&安捷樓,"22.3296032,114.1879883",0.1312
1652,On Hong Building&安康大廈,"22.3168716,114.16961670000002",0.0714
1653,On Cheung Building&安昌大廈,"22.3104553,114.1713943",0.0427
1654,On Hong Mansion&安康大廈,"22.3451939,114.1982956",0.0574
1655,On Hong Building&安康樓,"22.3748798,114.17735290000002",0.0507
1656,On Keung Building&安強大樓,"22.334219,114.196579",0.1115
1657,On Tai Building&安泰樓,"22.3747883,114.1772385",0.0464
1658,On Lok House&安樂樓,"22.3712025,114.1166458",0.1409
1659,On Lok Garden Mansion&安樂花園大廈,"22.3145561,114.2275085",0.0736
1660,On Fat Building&安發大廈,"22.3391628,114.1569672",0.1559
1661,On Tai Building&安泰大廈,"22.2478256,114.1555252",0.1198
1662,On Tai Mansion&安泰大廈,"22.3064823,114.18367",0.286
1663,On Tai Building&安泰大樓,"22.3168697,114.21645359999998",0.1547
1664,Bonny View House&安美大廈,"22.2712193,114.1850128",0.1598
1665,On May Mansion&安美大廈,"22.3188477,114.1680145",0.0225
1666,On Shing Building&安盛大廈,"22.3679523,114.1393356",0.1881
1667,On Hing Mansion&安興大廈,"22.2755394,114.1712952",0.1686
1668,On Shing Court&安盛苑,"22.505125,114.1288452",0.2208
1669,On Cheung House&安祥大樓,"22.3171616,114.2157135",0.1886
1670,On Fook Building&安福大廈,"22.3166237,114.1909637",0.1171
1671,On Fook Building&安福大樓,"22.4421196,114.0288925",0.0968
1672,On Ying Mansion&安英大廈,"22.322059600000006,114.1667175",0.0344
1673,On Yin Building&安賢樓,"22.3169918,114.2160263",0.1736
1674,On Fai Building&安輝大廈,"22.2482719,114.1561508",0.0441
1675,On Wah Building&安華大廈,"22.2874832,114.1462326",0.1722
1676,On Fai Building&安輝樓,"22.4427109,114.0245743",0.1045
1677,Orchid Court&安蘭閣,"22.3143864,114.1678314",0.2636
1678,On Yue Building&安裕大廈,"22.3700867,114.116394",0.1053
1679,On Fung Building&安豐大廈,"22.3713703,114.112114",0.1771
1680,Anho House&安豪樓,"22.3233147,114.169548",0.1894
1681,Yue Tin Court&愉田苑,"22.3828545,114.2026215",0.1738
1682,Splendour Court&愉輝洋樓,"22.2708282,114.1850128",0.2029
1683,Hanison Garden&愉翠園,"22.4198246,113.9786987",0.148
1684,Peace House&愉都大廈,"22.2697163,114.1846008",0.1497
1685,Joyful Garden&愉翠苑,"22.3280201,114.1604462",0.3271
1686,Yu Chui Court&愉翠苑,"22.382452,114.2055817",0.2442
1687,BLUE POOL LODGE&愉苑,"22.2700176,114.1850204",0.1471
1688,Comfort Mansion&愉華大廈,"22.2710457,114.1850128",0.1789
1689,Yu Fung Building&愉豐樓,"22.2697315,114.1845093",0.1539
1690,Edwardian Heights&愛華閣,"22.3262901,114.1830215",0.2127
1691,Che Wah Building&慈華大廈,"22.346529,114.2021332",0.1803
1692,Aldrich Garden&愛蝶灣,"22.2807693,114.22872920000002",0.1894
1693,Shun Chung Lau&慎忠樓,"22.5047474,114.127327",0.0907
1694,Estoril Court&愛都大廈,"22.2752495,114.1560287",0.2084
1695,Shun Shing Building&慎成大廈,"22.3955364,113.9753723",0.0941
1696,Deltec Court&愷悌閣,"22.3193474,114.1756668",0.1266
1697,Tsz On Court&慈安苑,"22.3514729,114.1989746",0.2791
1698,Che Cheung Building&慈祥大廈,"22.3465004,114.2017593",0.1767
1699,Oi Kwan Court&愛群閣,"22.276256600000004,114.1795578",0.0971
1700,Able Building&愛寶大廈,"22.2760487,114.1689987",0.0636
1701,Aegean Coast&愛琴海岸,"22.3723774,113.9949036",0.1676
1702,Prince Edward Towers&愛華苑,"22.3258533,114.1774902",0.1906
1703,The Aegean&愛琴灣,"22.366045,114.0017624",0.7028
1704,Aegean Terrace&愛琴苑,"22.2633343,114.1285629",0.1534
1705,Melody Court&愛琴軒,"22.2906761,114.2017212",0.0648
1706,Aldrich House&愛秩序樓,"22.277319,114.2278824",0.1427
1707,Mo Kwan House&慕群樓,"22.3259468,114.1675034",0.0351
1708,Grandview Tower&慧景台,"22.2723312,114.1742783",0.0546
1709,Mor Wah Mansion&慕華樓,"22.3232212,114.16645049999998",0.1066
1710,Westland Heights&慧園,"22.3430099,114.1817627",0.3778
1711,Vianni Cove&慧景軒,"22.466081600000006,114.0040131",0.152
1712,Vogue Court&慧妍閣,"22.3249474,114.1713638",0.1358
1713,Well On Garden&慧安園,"22.3245201,114.2540283",0.0621
1714,Wellive Court&慧宜閣,"22.318952600000006,114.174881",0.1054
1715,Elegant Terrace&慧明苑,"22.2802048,114.149971",0.1504
1716,Parkview Court&慧景閣,"22.3997326,113.9765091",0.2415
1717,Marina Garden&慧豐園,"22.371767,113.970932",0.2073
1718,Sherwood Court&慧林閣,"22.2797585,114.15161129999998",0.1587
1719,Vantage Park&慧豪閣,"22.2793407,114.1506195",0.2663
1720,Cameo Court&慧源閣,"22.2813091,114.1522293",0.1155
1721,Brilliant Court&慧賢軒,"22.2752457,114.2310867",0.072
1722,Wisdom Court&慧苑,"22.2801781,114.1393967",0.2756
1723,Village Garden&慧莉苑,"22.2677765,114.1838989",0.1308
1724,Wai Wah Court&慧華閣,"22.280687300000004,114.1292801",0.0545
1725,Valiant Court&慧蘭閣,"22.2755394,114.1739197",0.2704
1726,Forfar&懿薈,"22.3263893,114.1864014",0.1911
1727,Hing Point House&慶邦樓,"22.3318233,114.1651001",0.1851
1728,Hing Wan House&慶雲樓,"22.3768749,114.1787949",0.0692
1729,Shing Kung Mansion&成功樓,"22.280941,114.1755905",0.2975
1730,Ying Piu Mansion&應彪大廈,"22.283580800000006,114.145813",0.1339
1731,Mau Wah Mansion&懋華大廈,"22.2835674,114.1307907",0.0414
1732,Wen Pang Building&懷邦樓,"22.3275738,114.1621628",0.1954
1733,Seymour&懿峯,"22.2822819,114.1497269",0.1003
1734,Peony Court&慧賢閣,"22.3271046,114.1662521",0.0452
1735,Hing Luen Court&慶聯閣,"22.2117786,114.027832",0.1841
1736,Wilshire Towers&慧雅閣,"22.2875462,114.2051239",0.0523
1737,Hing Hing Building&慶興大樓,"22.3724995,114.1171341",0.0361
1738,La Place de Victoria&慧雲峰,"22.2917595,114.2055664",0.1218
1739,Hing Wah Building&慶華大樓,"22.3140945,114.1688538",0.1692
1740,Hing Lin Building&慶年大樓,"22.3243618,114.1652527",0.0869
1741,Wilhelmina Garden&慶庭雅苑,"22.4188519,113.9800644",0.1774
1742,Hing Sing Building&慶成樓,"22.3315315,114.1644745",0.2132
1743,Hing Cheung Building&慶祥大廈,"22.3122025,114.1859665",0.1645
1744,Shing Yip Mansion&成業樓,"22.3297787,114.1894989",0.0258
1745,Cenfa Villa&成發山莊,"22.386631,113.92179109999998",4.3835
1746,Shing On Building&成安大樓,"22.2810917,114.2208252",0.1406
1747,Shing To Building&成都大廈,"22.3275452,114.1676025",0.1092
1748,Sing On Building&成安樓,"22.3292561,114.1900558",0.1068
1749,Shing Tak Mansion&成德大廈,"22.3197441,114.1735229",0.095
1750,Shing Lam Building&成林大廈,"22.330492,114.1641159",0.1679
1751,Shing Yip Building&成業樓,"22.3183994,114.1885452",0.0452
1752,Genius Court 18&成龍居,"22.3283768,114.1877594",0.0773
1753,Chun Hing San Tsuen&振興新村,"22.4461021,114.0178528",0.278
1754,The Balmoral&承峰,"22.4405975,114.1620178",0.3388
1755,Pondview Villas&振華棠景花園,"22.4232159,114.0324402",1.9909
1756,Scenecliff&承德山莊,"22.2805958,114.1485367",0.1279
1757,Chun Wah Villas&振華花園,"22.4240894,114.0324936",1.8935
1758,Chi Ping Building&持平大廈,"22.2826786,114.1271439",0.0255
1759,Chun Yee Building&振宜大廈,"22.3214664,114.1686935",0.0694
1760,Chun Sing Garden&振聲花園,"22.4414959,114.0431061",0.1616
1761,Chun Hing Building&振興大樓,"22.3296165,114.1622086",0.1427
1762,Chun Wah Court&振華苑,"22.3227043,114.2177353",0.3036
1763,Sky Scraper&摩天大廈,"22.2833538,114.1917725",0.0584
1764,Chun Fai Garden&振輝花園,"22.4302044,114.0238419",0.9037
1765,Sorrento&擎天半島,"22.3064613,114.1622772",0.1263
1766,Chit Tak Building&捷德樓,"22.3333168,114.1603088",0.1
1767,Yau Mei Shan Chong&攸美山莊,"22.4794445,114.06135559999998",1.2509
1768,Chit Wong Mansion&捷煌樓,"22.317262600000007,114.2156219",0.1915
1769,Chiat Hing Building&捷興大廈,"22.3291874,114.1621628",0.1903
1770,Chiap Thong Building&捷通大廈,"22.3174114,114.1910782",0.1011
1771,Notting Hill&摘星閣,"22.2674961,114.1818085",0.2086
1772,Donmark Mansion&敦勝樓,"22.2181625,114.2130203",0.0854
1773,Mandarin Villa&文儀新村,"22.329635600000003,114.2636337",0.3465
1774,Don Shing Building&敦成大廈,"22.3051453,114.169342",0.127
1775,Man Kwong Court&文光閣,"22.2821884,114.1284714",0.1646
1776,The Morgan&敦皓,"22.2801952,114.1488571",0.1486
1777,Manley House&文利大廈,"22.298851000000006,114.168869",0.277
1778,King Tak Terrace&敬德臺,"22.3200016,114.17977140000002",0.0961
1779,King Wah House&敬華樓,"22.3170433,114.21617890000002",0.1582
1780,Cyber Domaine&數碼都域,"22.4902821,114.14882659999998",0.6322
1781,Man Shing Building&文丞樓,"22.4431305,114.0237045",0.0639
1782,Man Yip Building&文業樓,"22.44594,114.0254059",0.0644
1783,Man Yiu Building&文耀樓,"22.3077793,114.1659012",0.2029
1784,Man Hoi Mansion&文海樓,"22.3285294,114.1655121",0.1348
1785,Man Hing Mansion&文興大廈,"22.2776299,114.1784439",0.0842
1786,Man Hee Mansion&文熙大廈,"22.2773037,114.1696396",0.0453
1787,Man Hing Building&文興樓,"22.3072987,114.1667404",0.2529
1788,Man Shek Building&文石大廈,"22.2800369,114.1801605",0.0307
1789,Man Lai Court&文禮閣,"22.3762589,114.1831741",0.0731
1790,Mansion Court&文翠閣,"22.3160686,114.1753998",0.2024
1791,Man Yuen Mansion&文園大廈,"22.329174,114.1867142",0.0979
1792,Man Cheong Court&文昌閣,"22.3377037,114.1453476",0.0975
1793,Menon Mansion&文安大廈,"22.3164749,114.1752548",0.1781
1794,Man King Building&文景大廈,"22.2867661,114.1491928",0.0153
1795,Man On House&文安樓,"22.2767696,114.1767731",0.0319
1796,Man King Building&文景樓,"22.3071098,114.1657181",0.2753
1797,Manor Place&文德苑,"22.3270817,114.1879425",0.0681
1798,Merryland Court&文怡閣,"22.3283939,114.1723175",0.0576
1799,Man Shing Building&文成樓,"22.3730736,114.11128229999998",0.214
1800,Man Cheong Building&文昌樓,"22.308113100000003,114.1660004",0.1685
1801,Man Yuen Garden&文苑,"22.2744255,114.1685257",0.1236
1802,Man Wah Building&文華樓,"22.2692738,114.18408970000002",0.1314
1803,Man Yuen Building&文苑樓,"22.3075809,114.1668777",0.2579
1804,Man Wah Court&文華閣,"22.3302917,114.17424009999998",0.1041
1805,Mandarin Building&文華大廈,"22.2856426,114.1525269",0.0022
1806,Minerva House&文華大廈,"22.2837067,114.1422424",0.1453
1807,Mandarin Villa&文華新村,"22.2719917,114.17659",0.1344
1808,Man Yu Building&文裕大廈,"22.4457607,114.0301514",0.0648
1809,Mandarin Court&文華閣,"22.3201294,114.1677628",0.1152
1810,Scholar Court&文豪花園,"22.2849293,114.1408463",0.0413
1811,Man Hoo Court&文豪閣,"22.3102131,114.1714783",0.024
1812,Manvar House&文華閣,"22.3327484,114.1858139",0.0324
1813,Man Wai Building&文蔚樓,"22.30793,114.1668777",0.2261
1814,Mansfield Court&文蔚閣,"22.3263702,114.1837311",0.2717
1815,Man Yui Building&文裔大廈,"22.3302689,114.1633301",0.1052
1816,Sun Yan Hing Mansion&新仁興樓,"22.448635100000004,114.1644058",0.0971
1817,Sun Lee Building&新利大廈,"22.3065357,114.1692276",0.05
1818,Sun Lee Mansion&新利大廈,"22.322073,114.1668472",0.0477
1819,Sun Yuen Long Centre&新元朗中心,"22.4449596,114.0265961",0.0001
1820,Sunshine Building&新勝大樓,"22.3199463,114.1744537",0.101
1821,New Un Chau Building&新元洲大廈,"22.3341312,114.1606827",0.1104
1822,Hsin Kuang Centre&新光中心,"22.3420181,114.1964645",0.2031
1823,Boundary Crest&新利大廈,"22.3268833,114.1762543",0.0367
1824,Mountain Court&文豪閣,"22.3168449,114.1765671",0.0605
1825,Full Comfort Villa&斌逸雅苑,"22.4428482,114.1674118",0.1495
1826,Man Fai Building&文輝樓,"22.3075314,114.1658096",0.2291
1827,Manchester Court&文采閣,"22.3157787,114.1755905",0.2142
1828,Manner Court&文雅閣,"22.3165665,114.1752319",0.168
1829,Manly House&文麗大樓,"22.2435799,114.15494540000002",0.1487
1830,Sun Shing Building&新城大廈,"22.2862988,114.1328354",0.2315
1831,New Pei Ho Building&新北河大樓,"22.3299427,114.1626282",0.1028
1832,New Town Plaza&新城市廣場,"22.3814583,114.1889343",0.1358
1833,Sun Nam Fung Mansion&新南風大廈,"22.3273201,114.1612854",0.2114
1834,New Town Mansion&新城樓,"22.2175217,114.2132034",0.1238
1835,New Wealth Mansion&新和富大廈,"22.2919979,114.1968918",0.1808
1836,San Wai Court&新圍苑,"22.4049778,113.9627762",0.177
1837,Sun Shing Centre&新城中心,"22.320364,114.1894989",0.2302
1838,Sun On Building&新安大樓,"22.285802800000006,114.135437",0.1323
1839,Sun Kai Mansion&新基大樓,"22.2773991,114.1705475",0.0521
1840,Sun On House&新安大樓,"22.3280525,114.1882935",0.0598
1841,San Kay House&新基樓,"22.4428406,114.0265274",0.1243
1842,San On Building&新安樓,"22.3462563,114.1979294",0.0562
1843,Sunway Gardens&新威園,"22.2857246,114.2115707",0.3602
1844,Sunwise Building&新威大廈,"22.283268,114.1541748",0.1695
1845,Sun On Mansion&新安大廈,"22.281618100000006,114.1837616",0.1148
1846,Sang On Building&新安大樓,"22.3077908,114.1839447",0.1899
1847,Sunning Mansion&新寧大樓,"22.3326759,114.1645126",0.1286
1848,Classical Garden&新峰花園,"22.441656100000003,114.1615753",0.3309
1849,San Ning Building&新寧樓,"22.346269600000007,114.1978378",0.0475
1850,Sunning Court&新寧閣,"22.3355618,114.1607285",0.1804
1851,Sun Hong Building&新康樓,"22.4483833,114.1646423",0.065
1852,La Cite Noble&新寶城,"22.3138332,114.2663422",0.2007
1853,Sun Po Building&新寶大廈,"22.3362274,114.1607971",0.2263
1854,Sunbo Building&新寶大廈,"22.5042896,114.1280289",0.1168
1855,Sun Tuen Mun Centre&新屯門中心,"22.3812542,113.9646301",0.0323
1856,Sunderland Estate&新德園,"22.3341312,114.1804962",0.1096
1857,Sun Ming Building&新明大樓,"22.2443333,114.1573563",0.2062
1858,Sun Tak House&新德樓,"22.2654228,114.2443008",0.0988
1859,Sun Ming Court&新明閣,"22.3347626,114.161377",0.1696
1860,Sun Sing Centre&新成中心,"22.2795258,114.2246246",0.1849
1861,New Spring Garden Mansion&新春園大廈,"22.2752953,114.1724319",0.1728
1862,Sun Sing Building&新成大樓,"22.279466600000006,114.2256088",0.2216
1863,Sun Mong House&新旺樓,"22.3213863,114.17099",0.0558
1864,New Start Building&新昇大廈,"22.2868118,114.1413574",0.0552
1865,San Cheong Building&新昌樓,"22.3462334,114.1980667",0.0695
1866,Sun Hon House&新漢大樓,"22.3232288,114.1641388",0.134
1867,Villa Castell&新翠山莊,"22.4328117,114.1962357",0.2137
1868,New Jade Garden&新翠花園,"22.264078100000006,114.2372971",0.1254
1869,Sun Fat Building&新發大廈,"22.2804604,114.1293259",0.0486
1870,Sun Luen Building&新聯大廈,"22.2846088,114.142334",0.1544
1871,Sun Fat Mansion&新發大廈,"22.2810535,114.1921921",0.0004
1872,Sun Hey Mansion&新禧大樓,"22.277366600000004,114.1711731",0.0096
1873,Sun Mei Garden&新美花園,"22.4325409,114.0236206",0.6755
1874,Sun King Building&新景樓,"22.4990139,114.1426086",0.1637
1875,Sun Tai House&新泰樓,"22.3279667,114.18717959999998",0.077
1876,Sun King House&新景樓,"22.286211,114.1333923",0.184
1877,Sunshine City&新港城,"22.4250546,114.2298813",0.0167
1878,Newish Mansion&新望大廈,"22.3248711,114.1679688",0.0197
1879,Metro Regalia&新港豪庭,"22.319849,114.1656265",0.1214
1880,Sun Wing Building&新榮大樓,"22.3295097,114.1656494",0.1884
1881,Sun Wing Building&新榮樓,"22.4459095,114.0267105",0.1966
1882,Sun Kong House&新江大樓,"22.3158817,114.1709213",0.0981
1883,Sun Tai Mansion&新泰大廈,"22.3183727,114.1667404",0.1322
1884,New Kwai Fong Gardens&新葵芳花園,"22.3576679,114.1288071",0.1059
1885,Sun Hing Garden&新興花園,"22.4532948,114.1735229",0.0478
1886,San Po Kong Mansion&新蒲崗大廈,"22.3363247,114.1949768",0.0729
1887,Sin Hua Mansion&新華大樓,"22.3131294,114.1878281",0.2452
1888,San Po Kong Plaza&新蒲崗廣場,"22.335083,114.1958847",0.019
1889,Sun Wah House&新華大樓,"22.3323612,114.1609802",0.0417
1890,Sin Hua Bank Building&新華銀行大廈,"22.3684654,114.1395493",0.1361
1891,New Man Lee Building&新萬利大廈,"22.315925600000003,114.1674576",0.2031
1892,Sun Kwai Hing Gardens&新葵興花園,"22.3625584,114.1307144",0.0704
1893,The Standard Chartered Bank Building&新蒲崗渣打銀行大廈,"22.3341198,114.195282",0.0838
1894,Sun Fair Building&新輝大廈,"22.3325462,114.16367340000002",0.1719
1895,San Fung Building&新豐大廈,"22.5055695,114.1270981",0.1528
1896,San Fai Building&新輝樓,"22.346241,114.1982956",0.0929
1897,San Fung House&新豐樓,"22.5034447,114.1268921",0.0375
1898,Sun Fai Mansion&新輝閣,"22.2690258,114.1842728",0.0986
1899,Sun Fung Mansion&新豐樓,"22.2824345,114.153389",0.2207
1900,Greenfield Mansion&新豪大廈,"22.281641,114.1862488",0.3124
1901,Sun Ho House&新豪大廈,"22.329607,114.166832",0.1074
1902,Sun Ho Court&新豪閣,"22.2787914,114.1887665",0.0382
1903,Sun Field Court&新雅閣,"22.3176765,114.1743317",0.0258
1904,Sunny Villa&新麗苑,"22.368206,114.0899048",1.1238
1905,Sun Fung Mansion&新風大廈,"22.2849503,114.1924973",0.021
