,house_name,lat_lon,shopping center
76,Koon Hing Building&冠興樓,"22.3960228,113.974762",3.42720260003079e-07
77,Top view mansion&冠景樓,"22.2787266,114.180954",2.0143117000008106e-07
78,Cambridge Court&冠華園,"22.3194866,114.1765442",3.159152544990264e-05
79,Kwun Fai Court&冠暉苑,"22.3142166,114.1824112",6.641599779995875e-05
80,Koon Wah Building&冠華大廈,"22.2863483,114.1387558",1.563690820008928e-06
81,Koon Wing Building&冠榮大廈,"22.3380318,114.155571",1.350430250009921e-06
82,Koon Wong Mansion&冠煌樓,"22.4462452,114.02942659999998",1.232328099951861e-07
83,Kwun Hei Court&冠熹苑,"22.3143654,114.1832733",6.141222893000795e-05
84,Koon Mei Building&冠美樓,"22.2783318,114.1727982",1.0913023300043896e-06
85,Champion Building&冠豐大廈,"22.4419956,114.0320282",1.2975890899948506e-06
86,Hoi Shuen Building&凱旋樓,"22.4420013,114.0293579",6.350070500095556e-07
87,Kwun Ngan House&冠顏樓,"22.3241692,114.1681366",3.5628434000073437e-06
88,Holly Court&冬青閣,"22.2656403,114.1881943",0.00019256348852002056
89,The Arch&凱旋門,"22.3049507,114.1616364",1.949426000203661e-08
90,Hampton Place&凱帆軒,"22.320835100000004,114.1552658",4.2105281859936335e-05
91,Hyde Towers&凱德大廈,"22.3165245,114.2204285",1.021692850001128e-05
92,Hoi Tak Gardens&凱德花園,"22.3851604,113.98180390000002",7.301136370035305e-06
93,Triumph Terrace&凱旋居,"22.319627800000006,114.17426299999998",8.106768199874172e-06
94,Harbour Pinnacle&凱譽,"22.296728100000006,114.1741943",6.752116999894197e-07
95,Victoria Mansion&利園大廈,"22.2855415,114.1912384",8.633691409988806e-06
96,Bijou Court&別樹一居,"22.3239613,114.1693192",2.0298911299969147e-06
97,Lee Ga Building&利基大廈,"22.2813301,114.2216873",3.0797695400171492e-06
98,Bijou Apartments&別樹華軒,"22.323877300000003,114.16887659999998",1.6601845000027848e-07
99,Lee Kee Building&利基大廈,"22.3255119,114.2153091",1.3669596099970279e-05
100,Lee Loy Building&利來大廈,"22.2788296,114.1757278",3.3696768399639604e-06
101,Lee Loy Mansion&利來洋樓,"22.3039112,114.1683197",3.0161366369993596e-05
102,Lee Wo Building&利和大廈,"22.3687115,114.1396179",2.94732457000285e-06
103,La Clare Mansion&利嘉大廈,"22.277668,114.1323929",4.18052600100024e-05
104,Fortune Mansion&利是大廈,"22.2439537,114.15595249999998",9.081119329994138e-06
105,Lee Tai Building&利泰大樓,"22.3233318,114.1659012",3.9902369000154316e-07
106,Rex Building&利時大廈,"22.2866764,114.1386185",8.133556000146966e-07
107,Port Centre&利港中心,"22.2490578,114.1550369",1.6139944999961353e-07
108,Lee King Building&利景樓,"22.4440651,114.0277557",1.2224159999316936e-08
109,Lee Yuen Mansion&利源樓,"22.3978062,113.9748154",9.154260000051799e-08
110,Lei Tung Estate&利東村,"22.2410183,114.1560822",3.2800659999909435e-08
111,Lee Wing Building&利榮大廈,"22.3132801,114.1864548",3.4410157850007626e-05
112,Lee Wing Building&利榮大樓,"22.2774544,114.1735229",1.3626919999270326e-07
113,Lee Man Building&利民大樓,"22.3201447,114.17057040000002",6.691151300253582e-07
114,Topworth Court&利基閣,"22.2857361,114.1434097",1.3751968100061092e-05
115,Lee Shing Mansion&利成大廈,"22.30616,114.1677399",5.621177700002287e-05
116,Lee Wai Building&利威大樓,"22.3188457,114.169693",1.0461140999903375e-07
117,Newman House&利文樓,"22.276889800000006,114.1709518",5.09897513003208e-06
118,Lee On Building&利安大樓,"22.3194599,114.1713181",1.8491146000428885e-07
119,Lee Cheong Building&利昌大廈,"22.277916,114.1783524",2.6986624999890883e-07
120,La Belle Mansion&利寶大廈,"22.3201561,114.1756134",2.0077449759994267e-05
121,Lee Bo Building&利寶大廈,"22.3883781,113.9792709",6.142659999991202e-08
122,Li Tak Mansion&利得大廈,"22.321050600000003,114.1609573",6.039616209947007e-06
123,Lauren Court&利源閣,"22.3138618,114.1681137",8.00572404999225e-06
124,Lee Kwan Building&利群大廈,"22.3193741,114.1707611",4.3968002000752774e-07
125,Lee Fat Building&利發大廈,"22.2440186,114.1550598",1.0213024450000884e-05
126,Lee Kwan Building&利群樓,"22.4454288,114.03184509999998",7.081704900020105e-07
127,Lee Luen Mansion&利聯大廈,"22.3258533,114.1675568",1.1742676899993855e-05
128,Lee Fat Mansion&利發大廈,"22.2686901,114.186409",0.00010728440944994914
129,Lee Fat Building&利發大樓,"22.321785,114.1683197",1.2128630900138594e-06
130,Lee Fat House&利發樓,"22.4433479,114.0267944",3.891544200015835e-07
131,Lee Shing Building&利盛大樓,"22.3233051,114.1655273",6.743532100068154e-07
132,Lee Hing Building&利興大樓,"22.320282,114.17080690000002",5.488640899826585e-07
133,Lee Wah Mansion&利華大廈,"22.2880287,114.1446991",1.7813057060020392e-05
134,Billion Court&利豐大廈,"22.2432899,114.1540146",9.145747060022013e-06
135,Lee Fung Building&利豐大廈,"22.2854843,114.1502075",1.7787360099743666e-06
136,La Vogue Court&利華閣,"22.2682629,114.1852493",0.00010702398819995959
137,Lee Shing Building&利誠大廈,"22.3438187,114.1960373",3.7315529800032065e-06
138,Lee Hung Building&利鴻大樓,"22.3217278,114.1704788",2.552919079985417e-06
139,Lik Sang Court&力生閣,"22.3291836,114.1655502",1.7382044980024802e-05
140,L．Harbour 18&利．港灣18,"22.3147354,114.1902161",5.25944969299995e-05
141,Kung Lok Building&功樂大廈,"22.3182259,114.2195892",1.2980720649979403e-05
142,Chong Tak Building&創德樓,"22.3032951,114.1695938",1.7240200689965003e-05
143,Kai Ming Building&加冕樓,"22.2784691,114.1793976",4.381734010031686e-06
144,Chong Yip Centre&創業中心,"22.2862167,114.1371994",3.9485105999654797e-07
145,Comfort Heights&創福苑,"22.2862415,114.1939774",9.548013609955056e-06
146,Lakeshore Building&力生大廈,"22.4039021,113.9782486",1.560489999979113e-07
147,Silverwood&力生軒,"22.276004800000006,114.1855011",1.571237256993341e-05
148,Lee Fung Building&利豐大樓,"22.3196697,114.1724777",1.1473708999966063e-06
149,Pilkem Court&利金閣,"22.3038158,114.17099",1.2872913849999964e-05
150,Leader Building&利達大廈,"22.4490986,114.164299",1.5192270260025306e-05
151,Lee Shun Building&利順大樓,"22.278389,114.1735458",1.2130942499992446e-06
152,Lee Ko Building&利高大廈,"22.3121586,114.1856918",2.3857595600000606e-05
153,Lee Tat Building&利達大樓,"22.3258076,114.1678314",1.223374932001105e-05
154,Leader House&利達樓,"22.2830772,114.1296082",6.255730000299479e-09
155,Rialto Mansion&利都樓,"22.2891712,114.19393159999998",3.901593799996385e-06
156,Pilkem House&利金大樓,"22.3046017,114.17099",2.228472999925118e-07
157,Ka Fai Court&加暉閣,"22.2849884,114.1365128",2.9602401800053567e-06
158,Kadoorie Lookout&加多利峯,"22.320097,114.1749039",1.2140456290000801e-05
159,Grand Court&加林閣,"22.3164597,114.17735290000002",2.9500848490112994e-05
160,Seven Victory Aveune&加多利軒,"22.319437,114.1743011",8.455471249943274e-06
161,Caroline Hill Court&加路連大樓,"22.276741,114.18758390000002",1.1348136810016168e-05
162,CADOGAN&加多近山,"22.2820587,114.1265182",9.820541329988502e-06
163,Cayman Rise&加惠臺,"22.2817917,114.1246643",2.4572228679986542e-05
164,One Victory&勝利道1號,"22.3184853,114.17468259999998",1.3770701799859415e-05
165,Kan Yip Building&勤業樓,"22.4447479,114.0249405",3.511764000109707e-08
166,Shing Hing Building&勝興樓,"22.3243999,114.1662521",2.7697630499985966e-06
167,Kanfield Mansion&勤輝大廈,"22.2777843,114.1924667",3.830307297993281e-05
168,Shing Wah Building&勝華大廈,"22.3592339,114.1272812",9.013368500002058e-07
169,Lai Shing Garden&勵城花園,"22.3803558,114.19537350000002",9.905549410049323e-06
170,Shing Wah Mansion&勝華樓,"22.2798615,114.1819077",1.2993745700180944e-06
171,Rich Court&勝裕閣,"22.3218861,114.1885452",2.589213700114487e-07
172,Kan Kin Building&勤儉樓,"22.4455357,114.0301971",2.5918503999772597e-07
173,Pei Ho Building&北河大廈,"22.3295078,114.1608124",2.665995249999256e-06
174,Hillsea Court&匯山園,"22.3404827,114.176239",2.25812864499746e-05
175,North Point Centre&北角中心大廈,"22.2894764,114.1952362",1.2999999735404345e-13
176,Wui Chuen Building&匯川大廈,"22.3206749,114.1879425",3.943313999988727e-06
177,North Point Mansion&北角大廈,"22.2898026,114.2030563",2.627152969990971e-06
178,Way Man Court&匯文樓,"22.2678223,114.1854095",0.00011693392020004656
179,Dawning Height&匡景居,"22.2831917,114.1513443",6.8847629799732385e-06
180,Marina Cove&匡湖居,"22.3576107,114.2546539",1.1495142099968413e-05
181,Well Found Building&匯創大廈,"22.2809372,114.1828308",2.5379664999999993e-07
182,No. 1 Star Street&匯星壹號,"22.2758503,114.1685181",6.976787809999425e-06
183,Splendid Place&匯豪峰,"22.2855549,114.2138138",4.2158393000947847e-07
184,Scenery Mansion&匯景大廈,"22.3240585,114.1786499",4.0823109289871395e-05
185,Winsome Park&匯豪閣,"22.280496600000006,114.14934540000002",1.9081132519837103e-05
186,Sceneway Garden&匯景花園,"22.3077621,114.2335968",1.2480403999966335e-07
187,Centre Place&匯賢居,"22.2848587,114.14607240000002",6.034686592955614e-05
188,Richland Court&匯源閣,"22.2758579,114.1731415",2.240786890001995e-06
189,Greenway Terrace&匯翠台,"22.2752609,114.1853485",1.843929908001213e-05
190,THE PASEO&匯萃,"22.2992039,114.175209",2.6305028000318646e-07
191,The Forest Hills&匯豪山,"22.3455925,114.19908909999998",2.5369012998394675e-07
192,Royal Peninsula&半島豪庭,"22.3043194,114.1850967",4.8165881800117785e-06
193,Trafalgar Gardens&卓雅花園,"22.4295731,113.9960556",5.506289049997144e-05
194,Check Bo House&卓寶樓,"22.3303757,114.191185",6.77077153000012e-05
195,Hip Lee Building&協利大樓,"22.3156948,114.2223816",1.9292487999937287e-06
196,Cheuk Ming Mansion&卓明大廈,"22.371482800000006,114.1158371",1.371829700031261e-06
197,Hip Sing Mansion&協勝大廈,"22.2477474,114.1560898",5.157344900054971e-07
198,Cheuk Ming Building&卓明樓,"22.3718014,114.1165771",6.502349800025958e-07
199,Scenic Crest&卓濤軒,"22.2634926,114.0017624",3.068500786003733e-05
200,Chelsea Heights&卓爾居,"22.4007492,113.9744415",9.082888999874422e-08
201,The Celebrity&卓譽峰,"22.324749,114.1713028",3.4524336499986973e-06
202,The Opulence&匯賢閣,"22.3283234,114.1885529",9.215791700000903e-07
203,Chin Lung Building&千龍大樓,"22.3705521,114.1162033",5.74637600008799e-07
204,WUI FAI HOUSE&匯輝大樓,"22.3241615,114.1652756",2.73823041999642e-06
205,Celestial Heights (Phase 1)&半山壹號,"22.3189487,114.1857452",2.284360849001819e-05
206,La Regent Park&匯駿山莊,"22.4990139,114.111824",0.00021805897450015758
207,Peninsula Apartments&半島大廈,"22.2968483,114.1733932",2.642808499987923e-07
208,Tsin Shui Building&千歲大廈,"22.3210239,114.1615372",3.6924487299863932e-06
209,Millennium Court&千禧閣,"22.2827072,114.22116090000002",5.2245548500457e-06
210,Sheeny Terrace&千里台,"22.3763905,114.1050339",1.0961720999890074e-06
211,Hillwood Mansion&協和大廈,"22.3029404,114.1743317",4.037669050023584e-06
212,Hip Fook Building&協福大廈,"22.3317776,114.1645355",5.047222450029373e-06
213,Hip Wo House&協和大廈,"22.3165016,114.2260971",1.3971194449966905e-05
214,Hip Kwan House&協群樓,"22.3287334,114.1653214",1.848331250000448e-05
215,Hip Wo Mansion&協和大廈,"22.2779503,114.2285767",1.301733380002888e-06
216,Hip Fai Building&協輝大廈,"22.3073006,114.1865005",2.0033900999980618e-07
217,Hipway Towers&協威園,"22.3211422,114.2262344",1.0855855300026569e-05
218,Hiap Teck Building&協德大廈,"22.2696629,114.1847229",7.836346147997054e-05
219,Hip Tak Building&協德大廈,"22.3594341,114.1275406",1.63351711999424e-06
220,Hip Sang Building&協生大廈,"22.277732800000006,114.1723175",8.65535240005107e-07
221,Hip Pont Building&協邦大廈,"22.401369100000004,113.9776917",7.370170000145338e-08
222,Nam Tin Building&南天大廈,"22.290205,114.1949768",1.8730468999893672e-07
223,Nanking Building&南京大廈,"22.3059273,114.1699829",3.48635729300752e-05
224,Nan Tin Mansion&南天大廈,"22.4428329,114.0262909",6.210572799942747e-07
225,Nam Kiu Mansion&南僑大廈,"22.3177471,114.2257919",2.046727202002115e-05
226,Nam On Mansion&南安大樓,"22.3153305,114.2248154",5.048724609995194e-06
227,Nam Pak Hong Building&南北行大廈,"22.2867107,114.1486511",2.3051920000297394e-07
228,Nam Wo Building&南和大樓,"22.318828600000003,114.2152252",2.0680689999801713e-06
229,Park One&南昌一號,"22.3264847,114.1605835",1.999071804999093e-05
230,Nam Cheong Estate&南昌邨,"22.3268261,114.1563416",2.3377369000102013e-06
231,Nam Cheong Centre&南昌中心,"22.328352,114.1622086",1.151510784999758e-05
232,South View Building&南景樓,"22.2844219,114.1924591",1.648451521996181e-05
233,Nam Cheong Building&南昌大廈,"22.285093300000003,114.1353683",4.371844000015839e-06
234,South View Garden&南景花園,"22.2491398,114.14855959999998",1.8966199450160707e-05
235,Nam Cheung Building&南昌大廈,"22.3301525,114.1637878",4.898387769996921e-06
236,Nam Cheong Commercial Building&南昌戲院大廈,"22.3341064,114.1674576",1.0158620900112016e-06
237,Nam Cheong House&南昌樓,"22.2863693,114.1396942",3.299965609996128e-06
238,Nam Cheong Mansion&南昌苑,"22.3309212,114.164444",5.383540100042953e-06
239,Nam Fu Building&南富樓,"22.3288307,114.1608963",5.176729010003143e-06
240,Southern Building&南方大廈,"22.289987600000003,114.1947021",1.2698371999855857e-07
241,Nam Ning Mansion&南寧大廈,"22.2840328,114.1437759",2.6672812290002945e-05
242,Nam Fong House&南方樓,"22.3295784,114.1632767",5.826755090005081e-06
243,Nam Ning Mansion&南寧大樓,"22.317524,114.2252808",1.6196991039963427e-05
244,South Court&南方花園,"22.328346300000003,114.1858749",5.3824566760042115e-05
245,Nam Hong Building&南康大廈,"22.3182545,114.22052",1.3015758249994314e-05
246,Nam Lo Mansion&南廬大廈,"22.3374367,114.1569901",3.0836809000299935e-07
247,Nam Shing Building&南成大廈,"22.2768078,114.1711273",4.461406280040822e-06
248,Nam Wing Building&南榮大廈,"22.2685814,114.1865463",0.00011053568225003591
249,South Wave Court&南濤閣,"22.2446175,114.1660919",0.0001020942656100411
250,Nam Tai Mansion&南泰大樓,"22.3155041,114.2253723",7.984219300019394e-06
251,Larvotto&南灣,"22.2401066,114.1598587",1.6218822439998384e-05
252,South Ocean Building&南洋大廈,"22.33255,114.1603317",1.8799564900072404e-06
253,South Bay Towers&南灣大廈,"22.2281628,114.2004318",8.218548327996222e-05
254,Nam Yeung Mansion&南洋大樓,"22.3151779,114.2247009",4.3260236200082055e-06
255,Nerine Cove&南浪海灣,"22.3817616,113.971405",3.729569320001225e-06
256,Nan Hai Mansion&南海大廈,"22.2838764,114.1303482",1.9604000001877964e-10
257,South Sea Apartments&南海大廈,"22.3010139,114.1760559",2.1171696999711055e-07
258,Jadewater&南灣御園,"22.2484894,114.1523056",3.2386816999738535e-07
259,Nam Shing Mansion&南盛大廈,"22.4479389,114.1658325",1.152069860000361e-06
260,South Bay Palace&南灣御苑,"22.2376308,114.2005844",9.877919399985083e-06
261,Nam Cheung Building&南祥大廈,"22.4457035,114.0305176",4.687180099986001e-07
262,South Bay Villas&南灣新村,"22.2379723,114.2001419",8.966959300020254e-06
263,Nam Yuen&南苑,"22.444538100000006,114.0222092",5.905800003312606e-10
264,Southern Pearl Court&南珍閣,"22.276144,114.1827545",4.321846530004585e-06
265,Nan Chu Mansion&南珠大廈,"22.290247,114.1989975",3.168949345008302e-05
266,Nan Fung Sun Chuen&南豐新邨,"22.2827206,114.2123032",3.47820245001006e-05
267,Nan Yuen Building&南苑大廈,"22.32477,114.1666718",4.418877970009156e-06
268,Nam Pont Building&南邦大廈,"22.3291779,114.1636047",8.50693863998562e-06
269,Nam Wah Mansion&南華大廈,"22.3156567,114.224678",5.245570489997558e-06
270,Rondall Building&南都大廈,"22.3311958,114.1654663",1.0438212770078727e-05
271,South China Mansion&南華大廈,"22.2792397,114.2262115",5.08757265998911e-06
272,Nan Fung Plaza&南豐廣場,"22.3152218,114.2639923",2.3179297999708213e-07
273,One South Lane&南里壹號,"22.2852001,114.1350327",3.4469402500126116e-06
274,Oxford Heights&博林軒,"22.3281155,114.1877594",2.8380160999951624e-07
275,Nam Hoy Building&南開大廈,"22.277071,114.1766586",1.908859599983671e-07
276,Hing Wong Building&卿旺大廈,"22.2835941,114.1277008",2.801087450014364e-06
277,Nam Hung Mansion&南雄大廈,"22.2853584,114.132019",1.5725352099853703e-06
278,Hau Wo Building&厚和樓,"22.2826576,114.1270065",1.978102400024466e-07
279,Nam Fung Building&南風樓,"22.3237686,114.1655579",1.376913640007721e-06
280,Grand Scholar&博仕臺,"22.286499,114.1378021",8.999294799982977e-07
281,Pok Hong Estate&博康邨,"22.374506,114.1937332",8.881070399920274e-07
282,College Crest&博文閣,"22.328207,114.1838531",7.066984273008364e-05
283,Unique Villa&友園,"22.2660141,114.1878967",0.00017985783055993857
284,Union Building&友聯樓,"22.3717785,114.1123047",3.588534799958756e-07
285,Yau Ming Building&友明大廈,"22.3657265,114.138382",6.345691400025686e-07
286,Yau Hing Building&友興大廈,"22.3316212,114.16165159999998",4.3165538000962527e-07
287,Yau Wing Apartments&友榮大廈,"22.3152847,114.1687622",2.7523894900060528e-06
288,Yau Wing Lau&友榮樓,"22.2178211,114.21297450000002",4.714686499975868e-07
289,Yalford Building&友福園,"22.2906151,114.2028732",3.713729000007718e-07
290,Union Mansion&友聯大廈,"22.2982101,114.1753082",1.065887930009484e-06
291,Yau Luen Apartments&友聯大樓,"22.3287735,114.1669922",3.1165485650012397e-05
292,Hau Wo Court&厚威閣,"22.2829037,114.1273727",1.4930000014991783e-11
293,Yau Loy Building&友來大廈,"22.3269634,114.1659012",1.7881546090010228e-05
294,Hau Tak Building&厚德樓,"22.4425507,114.0296173",1.8697093000247627e-07
295,Yau Kwong Building&友光大廈,"22.2790031,114.1808624",2.432776450019297e-06
296,Yau Woo Building&友和大樓,"22.3209572,114.1709442",1.4017032000052154e-06
297,La Grove&原築,"22.4373951,114.02491",2.3300239299985477e-06
298,Parc Oasis&又一居,"22.333776500000006,114.1748123",6.505636211987458e-05
299,Village Gardens&又一村花園,"22.333583800000003,114.1754303",6.014586636988305e-05
300,Yau Yat Lau&又一樓,"22.3313179,114.1756134",7.685306163993784e-05
301,Loyal Mansion&友誠大廈,"22.3151093,114.187294",5.1494541970039585e-05
302,Eternal Building&合偉大廈,"22.291069,114.2037354",4.722266899998723e-07
303,Yau Shing Building&友誠大廈,"22.320722600000003,114.1700821",9.124078500047271e-07
304,Hopewell House&合和大廈,"22.316925,114.2263107",1.321529681000804e-05
305,Yau Shing Lau&友誠樓,"22.2182198,114.2126465",2.0799809000023496e-07
306,Hop Shing Building&合成大廈,"22.3152924,114.1871643",4.960369224997303e-05
307,Friendship Court&友誼大廈,"22.2697411,114.1854095",8.103700980000681e-05
308,Friendship Mansion&友誼大廈,"22.278869600000004,114.1790695",3.696790250017663e-06
309,Yau Lung Building&友隆樓,"22.329464,114.1897049",5.65368550900186e-05
310,Ho Kwan Building&可群大廈,"22.3053627,114.1685028",4.089046210005075e-05
311,Hop Yick Centre&合益中心,"22.4416084,114.0310364",1.417773650004346e-06
312,Hope House&合益大廈,"22.4419785,114.03089140000002",7.535780199940381e-07
313,Kuk Fung Building&吉豐大廈,"22.283086800000003,114.1276093",8.746560000417548e-08
314,Hop Yick Plaza&合益廣場,"22.4431877,114.02919009999998",1.2999999500925248e-12
315,Mutual House&合眾大廈,"22.3710022,114.11778259999998",1.5671497999466225e-07
316,Hop Yee Building&合義樓,"22.3077888,114.1847839",2.2087361000164193e-07
317,Kelley Court&吉利樓,"22.2836151,114.1292343",7.190600000154735e-08
318,Kut Hing House&吉慶樓,"22.376215,114.1777267",6.132824289972786e-06
319,Tung Shun Hing Building&同順興大廈,"22.3151455,114.1899643",4.653193280000105e-05
320,Ming Tak Building&名德大樓,"22.3669262,114.1353455",1.3307965699960432e-06
321,Malibu Garden&名仕花園,"22.2675171,114.1856918",0.0001252374615700067
322,Ming Yin Building&名賢大樓,"22.3672485,114.1353683",1.8835301199965914e-06
323,Mings Court&名仕閣,"22.268219,114.18469240000002",0.00010476057458010664
324,Napa Valley&名賢居,"22.4113064,113.9802933",2.5970200100124343e-06
325,Festival City&名城,"22.3701744,114.1759338",8.830314399998562e-06
326,Ming Tong Building&名堂大樓,"22.3671188,114.1353683",1.6203558499995468e-06
327,Hill Paramount&名家匯,"22.3614426,114.1756668",1.827063457005553e-05
328,The Brand&名御,"22.4368382,114.0297318",3.13234477300108e-05
329,Co-Tack Building&同德大廈,"22.3131332,114.1871033",3.252073009001382e-05
330,Harmony Garden&同興花園,"22.3191319,114.1891556",8.030648330005587e-06
331,Tung Lok Building&同樂樓,"22.4476719,114.1686249",1.6956638799847574e-06
332,Tung Fung House&同豐樓,"22.3300552,114.1917496",6.961861593006445e-05
333,Tung Fat Building&同發大廈,"22.446174600000006,114.0222473",2.7596854800230138e-06
334,Tung Tat Building&同達大廈,"22.2867718,114.1371765",1.950097999939001e-07
335,Tung Yik Building&同益大廈,"22.4440632,114.0288696",1.2112089997113993e-08
